SampleID	DolphinID	Species	BodySite	Gender	Contra	Age	Origin	Wild	Facility	Code	Habitat	Type	Environment	Forward	Reverse	PCR30	PCR35
4B	n/a	Tt	Skin	m	n/a	?	W	Y	n/a	n/a	ULM	Swab	Wild	G	4	Y	n/a
5B	n/a	Tt	Skin	m	n/a	?	W	Y	n/a	n/a	ULM	Swab	Wild	H	4	Y	n/a
6B	n/a	Tt	Skin	m	n/a	?	W	Y	n/a	n/a	ULM	Swab	Wild	I	4	VW	Y
7B	n/a	Tt	Skin	f	n/a	?	W	Y	n/a	n/a	PA	Swab	Wild	J	4	W	n/a
8B	n/a	Tt	Skin	?	n/a	?	W	Y	n/a	n/a	PA	Swab	Wild	K	4	W	n/a
9B	n/a	Tt	Skin	f	n/a	?	W	Y	n/a	n/a	PA	Swab	Wild	L	4	Y	n/a
10B	n/a	Tt	Skin	f	n/a	?	W	Y	n/a	n/a	PA	Swab	Wild	M	4	W	n/a
11B	n/a	Tt	Skin	f	n/a	?	W	Y	n/a	n/a	PA	Swab	Wild	A	5	W	n/a
12B	n/a	Tt	Skin	?	n/a	?	W	Y	n/a	n/a	PA	Swab	Wild	B	5	W	n/a
13B	n/a	Tt	Skin	?	n/a	?	W	Y	n/a	n/a	PA	Swab	Wild	D	5	VW	Y
14B	n/a	Tt	Skin	m	n/a	?	W	Y	n/a	n/a	PA	Swab	Wild	E	5	Y	n/a
15B	n/a	Tt	Skin	?	n/a	?	W	Y	n/a	n/a	PA	Swab	Wild	F	5	W	n/a
16B	n/a	Tt	Skin	f	n/a	?	W	Y	n/a	n/a	PA	Swab	Wild	G	5	Y	n/a
17B	n/a	Tt	Skin	m	n/a	?	W	Y	n/a	n/a	PA	Swab	Wild	H	5	N	Y
18B	n/a	Tt	Skin	f	n/a	?	W	Y	n/a	n/a	ULM	Swab	Wild	I	5	Y	n/a
19B	n/a	Tt	Skin	m	n/a	?	W	Y	n/a	n/a	ULM	Swab	Wild	J	5	Y	n/a
20B	n/a	Tt	Skin	m	n/a	?	W	Y	n/a	n/a	ULM	Swab	Wild	K	5	Y	n/a
21B	n/a	Tt	Skin	f	n/a	?	W	Y	n/a	n/a	ULM	Swab	Wild	L	5	Y	n/a
