SampleID	DolphinID	Species	BodySite	Gender	Contra	Age	Origin	Wild	Facility	Code	Habitat	Type	Environment	Forward	Reverse	PCR30	PCR35
30SB	30	Tt	Blowhole	m	n/a	21	H	N	DC	FL3	DC	Swab	Seapen	I	1	Y	n/a
30SG	30	Tt	Gastric	m	n/a	21	H	N	DC	FL3	DC	Swab	Seapen	J	1	Y	n/a
30SR	30	Tt	Rectal	m	n/a	21	H	N	DC	FL3	DC	Swab	Seapen	K	1	Y	n/a
31S	31	Tt	Genital_P	m	n/a	20	H	N	DC	FL3	DC	Swab	Seapen	L	1	Y	n/a
31SS	31	Tt	Skin	m	n/a	20	H	N	DC	FL3	DC	Swab	Seapen	M	1	Y	n/a
31SB	31	Tt	Blowhole	m	n/a	20	H	N	DC	FL3	DC	Swab	Seapen	A	2	Y	n/a
31SG	31	Tt	Gastric	m	n/a	20	H	N	DC	FL3	DC	Swab	Seapen	B	2	Y	n/a
31SR	31	Tt	Rectal	m	n/a	20	H	N	DC	FL3	DC	Swab	Seapen	D	2	Y	n/a
33S	33	Tt	Genital_P	m	n/a	15	H	N	DC	FL3	DC	Swab	Seapen	E	2	Y	n/a
33SS	33	Tt	Skin	m	n/a	15	H	N	DC	FL3	DC	Swab	Seapen	F	2	Y	n/a
33SB	33	Tt	Blowhole	m	n/a	15	H	N	DC	FL3	DC	Swab	Seapen	G	2	Y	n/a
33SG	33	Tt	Gastric	m	n/a	15	H	N	DC	FL3	DC	Swab	Seapen	H	2	Y	n/a
33SR	33	Tt	Rectal	m	n/a	15	H	N	DC	FL3	DC	Swab	Seapen	I	2	Y	n/a
32S	32	Tt	Genital_V	f	Y	19	H	N	DC	FL3	DC	Swab	Seapen	J	2	Y	n/a
32SS	32	Tt	Skin	f	Y	19	H	N	DC	FL3	DC	Swab	Seapen	K	2	Y	n/a
32SB	32	Tt	Blowhole	f	Y	19	H	N	DC	FL3	DC	Swab	Seapen	L	2	Y	n/a
32SG	32	Tt	Gastric	f	Y	19	H	N	DC	FL3	DC	Swab	Seapen	M	2	Y	n/a
